о,0.11066134530528132
а,0.08638235520421783
е,0.08129405428190056
и,0.0684210878459526
н,0.06412062049839255
т,0.06030188578253117
л,0.052545655875632695
с,0.05068228729329823
р,0.04746571836706019
в,0.047097728162290374
к,0.03657488098862241
у,0.0300564363159497
м,0.030009601198978993
п,0.02842724331846876
д,0.028107760913418597
г,0.01915221747552029
я,0.01906691065532365
ь,0.018095081978181528
з,0.017782290304127178
ы,0.017302230355177455
ч,0.015905540259801086
б,0.015485696889813697
й,0.01171881533916988
ж,0.009009069285864826
ш,0.008734749315036414
х,0.008227926442103432
ю,0.005282332121195901
щ,0.0035393966967861073
ц,0.0033169298911752605
э,0.0030727182098280147
ф,0.0021594334288992743
